Ticker,Date,Revenue,OperatingProfit,EBITDA,NetIncome,TotalAssets,CommonEquity,EPS,OperatingCashFlow,CapEx,GrossMargin,OperatingMargin,NetMargin,ROE_TTM,ROA_TTM,CurrentRatio,DebtToEquity,MarketCap,RevenueGrowthQoQ,RevenueGrowthYoY,EPSGrowthYoY,NetIncomeGrowthYoY,StockReturnQoQ,LogAssets,FreeCashFlow
AAPL,2021-09-25,83360.0,23786.0,26775.0,20551.0,351002.0,63090.0,1.24,20200.0,3223.0,42.2,28.53,24.65,147.44,28.06,1.07,199.03,2428611.99,,,,,,12.768547200437467,16977.0
AAPL,2021-12-25,123945.0,41488.0,44185.0,34630.0,381191.0,71932.0,2.1,46966.0,2803.0,43.76,33.47,27.94,145.57,27.35,1.04,170.71,2892119.66,48.686420345489445,,,,19.08529118313378,12.851055840829746,44163.0
AAPL,2022-03-26,97278.0,29979.0,32716.0,25010.0,350662.0,67399.0,1.52,28166.0,2514.0,43.75,30.82,25.71,149.27,29.64,0.93,178.02,2851332.73,-21.51518818830933,,,,-1.4102780934036496,12.76757807553834,25652.0
AAPL,2022-06-25,82959.0,23076.0,25881.0,19442.0,336309.0,58107.0,1.2,22892.0,2102.0,43.26,27.82,23.44,162.82,29.91,0.86,205.98,2292792.74,-14.719669401097878,,,,-19.588734212720226,12.725785659190073,20790.0
AAPL,2022-09-24,90146.0,24894.0,27759.0,20721.0,352755.0,50672.0,1.29,24127.0,3289.0,42.26,27.62,22.99,175.46,28.36,0.88,236.95,2417523.22,8.663315613736899,8.140595009596918,4.0322580645161255,0.8272103547272591,5.440111433709438,12.773529043959043,20838.0
AAPL,2022-12-31,117154.0,36016.0,38932.0,29998.0,346747.0,56727.0,1.88,34005.0,3787.0,42.96,30.74,25.61,147.94,26.15,0.94,195.87,2066941.77,29.960286646107413,-5.479043123966276,-10.476190476190483,-13.375685821542016,-14.501678705696165,12.75635068637325,30218.0
AAPL,2023-04-01,94836.0,28318.0,31216.0,24160.0,332160.0,62158.0,1.52,28560.0,2916.0,44.26,29.86,25.48,145.61,27.63,0.94,176.35,2592789.65,-19.050139133106846,-2.5103312156911084,0.0,-3.398640543782483,25.440865709535675,12.713372059519607,25644.0
AAPL,2023-07-01,81797.0,22998.0,26050.0,19881.0,335038.0,60274.0,1.26,26380.0,2093.0,44.52,28.12,24.31,160.09,28.23,0.98,181.31,3050896.33,-13.748998270698888,-1.400691908050966,5.000000000000004,2.257998148338647,17.668486141943696,12.721999237210007,24287.0
AAPL,2023-09-30,89498.0,26969.0,29622.0,22956.0,352583.0,62146.0,1.46,21598.0,2163.0,45.17,30.13,25.65,171.95,27.5,0.99,178.75,2676736.86,9.41477071286232,-0.7188338916868209,13.178294573643413,10.786158969161729,-12.263919501977972,12.77304133451078,19435.0
AAPL,2023-12-30,119575.0,40373.0,43221.0,33916.0,353514.0,74100.0,2.18,39895.0,2392.0,45.87,33.76,28.36,154.27,28.82,1.07,145.8,2994371.34,33.606337571789325,2.066510746538741,15.957446808510657,13.06087072471498,11.866481339521728,12.775678367494944,37503.0
AAPL,2024-03-30,90753.0,27900.0,30736.0,23636.0,337411.0,74194.0,1.53,22690.0,1996.0,46.58,30.74,26.04,147.25,29.99,1.04,140.97,2647973.75,-24.103700606314028,-4.305327090978106,0.6578947368421018,-2.168874172185431,-11.568290992258824,12.729057050815083,20694.0
AAPL,2024-06-29,85777.0,25352.0,28202.0,21448.0,331612.0,66708.0,1.4,28858.0,2151.0,46.26,29.56,25.0,160.58,30.59,0.95,151.86,3229664.35,-5.483014335614245,4.865704121178038,11.111111111111093,7.881897288868767,21.96738543952712,12.71172088976703,26707.0
AAPL,2024-09-28,94930.0,29591.0,32502.0,24982.0,364980.0,56950.0,1.64,26811.0,2908.0,46.22,31.17,26.32,174.62,28.98,0.87,187.23,3463350.37,10.670692609907096,6.069409372276469,12.328767123287676,8.825579369228098,7.23561319924777,12.807597836542806,23903.0
